id,time_spending,reasons_using,d_information,d_communication,d_new_friend,d_share,d_study,d_entainterment,number_friends,group_membership,SIU_INGroup,informational_use,SIU_1,SIU_2,SIU_3,entertainment_use,OEP_1,political_efficacy,OEP_2,OEP_3,OEP_4_Data,OEP_4,OFEP_1,OFEP_2,OFEP_3,OFEP_4,gender,age,barth_place,education,job,income,rural_urban_1,location,rural_urban_2,fav_party
472,2,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,2,"2, 3, 4",3,4,4,3,4,4,2,3,4,5,1,1,1,1,0,1,1,20,8,0,1,1,3,8,1,1
473,2,"1, 2, 3, 4, 5",1,1,1,1,1,0,4,"2, 3, 4",3,4,5,4,5,5,4,3,4,4,2,1,1,0,0,,0,36,10,6,5,2,1,10,1,1
474,3,"4, 6",0,0,0,1,0,1,4,4,1,5,5,4,5,5,3,4,5,4,1,1,1,1,1,1,0,18,7,0,1,1,1,10,1,1
475,3,5,0,0,0,0,1,0,3,1,1,5,5,1,5,5,1,5,1,4,"1, 3",2,0,0,0,1,0,24,8,4,4,3,3,8,3,1
476,2,6,0,0,0,0,0,1,2,"1, 2, 3",3,5,4,4,5,4,5,5,4,1,1,1,0,0,0,,0,18,10,3,1,1,1,10,1,2
477,3,"1, 2, 5, 6",1,1,0,0,1,1,3,"1, 2, 3, 4",4,5,5,4,5,5,1,5,5,4,2,1,1,0,0,1,1,21,11,4,4,5,5,11,3,1
478,2,1,1,0,0,0,0,0,4,3,1,5,4,1,5,5,4,5,5,5,3,1,1,1,1,1,0,49,9,4,2,1,3,9,1,1
479,3,"1, 2, 4, 5",1,1,0,1,1,0,4,"2, 3",2,3,4,3,4,3,5,4,5,4,3,1,1,0,1,1,1,20,8,4,1,5,4,8,3,1
480,3,"1, 2, 4, 5, 6",1,1,0,1,1,1,2,"1, 2, 3, 4",4,4,4,1,4,4,4,4,2,4,"1, 3",2,1,0,1,1,0,23,9,4,4,3,1,13,1,1
481,3,"1, 2, 4, 5",1,1,0,1,1,0,3,"1, 2, 3, 4",4,5,4,1,5,4,4,3,5,4,2,1,0,0,0,1,0,30,9,4,4,3,1,13,1,1
482,3,"1, 2, 4",1,1,0,1,0,0,3,"1, 2, 3, 4",4,4,5,3,3,5,4,3,4,3,1,1,0,0,0,0,1,21,11,3,5,1,2,11,1,1
483,2,"1, 2",1,1,0,0,0,0,1,"1, 2, 4",3,5,4,4,4,4,4,5,5,4,1,1,1,0,0,,0,45,9,4,5,2,4,10,3,1
484,3,"1, 2, 4, 5, 6",1,1,0,1,1,1,2,"2, 3, 4",3,3,3,3,3,3,4,2,3,1,1,1,0,0,0,,0,19,10,0,1,1,1,10,1,1
485,2,4,0,0,0,1,0,0,2,"1, 2, 3",3,3,5,5,5,5,5,5,3,3,2,1,1,0,1,1,0,21,10,0,1,2,3,10,1,1
486,1,"2, 4",0,1,0,1,0,0,3,"1, 2, 3, 4",4,2,4,4,2,4,4,5,2,5,3,1,1,1,1,1,0,33,13,4,4,4,5,15,,1
487,2,5,0,0,0,0,1,0,4,2,1,4,4,4,5,4,1,4,4,4,1,1,1,0,0,,1,62,10,4,7,3,1,10,1,1
488,3,"1, 2, 6",1,1,0,0,0,1,2,"1, 2, 3, 4",4,3,4,1,4,5,4,5,5,5,1,1,1,0,0,1,0,21,8,0,1,1,3,8,1,4
489,3,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,3,"1, 2, 4",3,3,3,3,3,3,4,3,3,3,3,1,1,1,1,1,1,35,8,4,4,2,1,8,1,1
490,2,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,4,"2, 3, 4",3,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,25,8,3,1,1,1,8,1,1
491,3,"1, 2, 4, 5, 6",1,1,0,1,1,1,3,"1, 2, 3",3,3,4,3,5,5,5,1,2,2,2,1,1,0,0,,0,20,7,4,1,1,1,7,2,1
492,3,2,0,1,0,0,0,0,4,3,1,5,5,4,4,5,4,5,4,5,1,1,1,0,0,0,1,23,8,4,1,1,4,8,4,1
493,3,"2, 4, 6",0,1,0,1,0,1,1,"2, 4",2,4,5,3,5,5,5,5,5,5,3,1,1,0,0,0,1,16,13,3,1,1,1,13,1,4
494,3,"1, 6",1,0,0,0,0,1,1,3,1,5,5,4,5,5,5,1,2,1,1,1,0,0,0,0,1,28,13,4,4,2,1,13,1,1
495,2,5,0,0,0,0,1,0,2,2,1,5,5,5,5,5,5,1,3,3,2,1,1,0,0,0,1,18,10,3,1,1,1,10,1,1
496,1,5,0,0,0,0,1,0,2,2,1,5,5,5,5,5,5,1,3,3,2,1,1,0,0,0,1,18,10,3,1,1,1,10,1,1
497,3,"2, 3, 5, 6",0,1,1,0,1,1,4,"1, 2, 3",3,3,5,4,3,5,4,4,2,3,2,1,1,0,0,,0,20,13,4,1,1,1,13,1,1
498,2,"5, 6",0,0,0,0,1,1,1,2,1,3,1,1,5,5,1,1,4,1,1,1,0,0,0,,1,17,3,3,2,1,3,3,2,1
